name,author,ingredients,steps,link
小白菜馅素包子,金凤栖梧,小白菜、面粉、玉米面、温水、酵母粉、生抽、蚝油、香油、盐、花椒粉、鸡精、玉米油、葱花。,,https://home.meishichina.com/recipe-666798.html
三七炒鸡蛋,兰杏梅,三七、鸡蛋、花生油、盐。,,https://home.meishichina.com/recipe-666797.html
薄皮香菇青菜包,阳春白雪！,小白菜、香菇、饺子皮、盐、鸡粉、白胡椒粉、香油、花椒粉、小苏打。,,https://home.meishichina.com/recipe-666796.html
蓝莓山药豆浆,兰杏梅,蓝莓、黄豆、山药、纯净水。,"1.黄豆备用。
2.黄豆浸泡6-12小时。
3.铁棍山药备用。
4.削皮切小段。
5.蓝莓备用。
6.洗净。
7.山药、黄豆和蓝莓一起放入破壁机，加入纯净水。
8.选米糊模式。
9.开始搅拌。
10.已打好。
11.盛入……",https://home.meishichina.com/recipe-666795.html
复刻KFC土豆泥,阳春白雪！,土豆、纯牛奶、黄油、盐、黑胡椒碎、玉米淀粉、蚝油。,"1.土豆去皮切片（比较好蒸）蒸锅约20分钟。
2.调配料汁:1克黑椒碎+
0.5玉米淀粉+1勺蚝油+清水混合均匀。
3.蒸好的土豆加1克盐，适量牛奶压泥。
4.牛奶少量多次加入，到浓稠顺滑状态如图。
5.土豆泥……",https://home.meishichina.com/recipe-666794.html
山药春饼,美食家_XYDl_jjVM,饺子馅、山药春饼、鸡蛋液。,"1.1个鸡蛋液(去黄留清)打在碗里备用。
2.山药春饼化开拿出备用。
3.饺子馅放在饼上备用。
4.把鸡蛋液抹在饼边上好放下一张饼。
5.盖在铺好的馅饼上用力压实。
6.依次放到盘子里。
7.上锅蒸五分钟关火。8……",https://home.meishichina.com/recipe-666792.html
海苔花生,人可何222,花生仁、生海苔、盐。,"1.花生买来用水冲一下，锅里放少些油，直接下花生，中大火不停翻炒。
2.一直炒到发出噼噼啪啪的声音，然后关中小火继续炒。
3.中小火一直不停炒，炒至花生变成金黄赤色，下2匙盐，继续翻炒10来下，让花生均匀……",https://home.meishichina.com/recipe-666793.html
广东肇庆艾糍青团制作详细教程,美食家_xjmby,糯米粉、粘米粉、艾草、花生、芝麻、红糖。,"1.第一步，采摘艾草。挑选田间嫩绿的艾草嫩叶，仔细清洗干净，去除泥沙和杂质，保证食材新鲜干净。
2.第二步，煮艾草打泥。锅中烧水，放入艾草焯烫片刻，捞出过凉水挤干水分，再打成细腻的艾草泥。
3.第三步，揉……",https://home.meishichina.com/recipe-666789.html
蓝莓奶昔,兰杏梅,蓝莓、纯牛奶。,,https://home.meishichina.com/recipe-666784.html
DIY草莓酱,味趣,草莓、白砂糖、柠檬。,,https://home.meishichina.com/recipe-666780.html
炝拌三七,兰杏梅,三七、清水、蒜、葱、干红辣椒、白芝麻、花生油、盐、生抽、醋、鸡精、味精、白糖。,,https://home.meishichina.com/recipe-666772.html
香芋蒸鸡翅,清水淡竹,鸡中翅、香芋、姜、葱、豆瓣酱、淀粉、盐、料酒、老抽、蚝油。,,https://home.meishichina.com/recipe-666770.html
咸肉冬笋炒包菜,清水淡竹,咸肉、冬笋、包菜、蒜苗、盐、蚝油。,,https://home.meishichina.com/recipe-666768.html
白玉木耳拌菠菜,兰杏梅,白玉木耳、菠菜、蒜、干红辣椒、花生油、盐、生抽、醋、白糖。,"1.取一小把，放入盘中。
2.水开后放入白玉木耳煮10分钟，10分钟后关火继续焖半小时。
3.用凉水清洗一下，白玉木耳煮泡好的颜色更白，味道更肥美。
4.择好的菠菜，洗净，沥干水分。
5.菠菜焯一下水，焯水一……",https://home.meishichina.com/recipe-666870.html
黑小麦面粉香葱鸡蛋煎饼,兰杏梅,黑小麦面粉、鸡蛋、白芝麻、纯净水、花生油、盐。,"1.黑小麦面粉备用。
2.择好的香葱洗净，切碎备用。
3.碗中放入黑小麦面粉。
4.敲入鸡蛋、葱花、白芝麻和少许盐。
5.搅拌均匀。
6.平底锅刷油，倒入糊糊摊平。
7.盖上盖子焖煎至底部凝固，翻面。
8.小火慢煎……",https://home.meishichina.com/recipe-666869.html
蓝莓山药奶昔,兰杏梅,蓝莓、山药、纯牛奶。,"1.铁棍山药备用。
2.削皮，切小段。
3.放入蒸锅。
4.蒸二十分钟左右即可。
5.蒸熟放入盘中。
6.蓝莓洗净备用。
7.纯牛奶备用。
8.全部食材倒入破壁机中。
9.按果蔬汁模式。
10.已打好。
11.如图所示。……",https://home.meishichina.com/recipe-666866.html
沙葱炒肉,_蒍鉨变乖々,洋葱、板筋肉、花生油、蚝油、盐。,"1.洋葱处理好洗净备用。
2.板筋瘦肉洗净切细。
3.锅中热油放入瘦肉炒干水份。
4.加入适量蚝油调味。
5.放入沙葱，大火快速翻炒。
6.少许盐调味。
7.翻炒均匀即可。
8.成品。
9.成品。
10.成品。
11.成……",https://home.meishichina.com/recipe-666791.html
鸭血粉丝汤,味趣,鸭血、鸡胗、鸡肝、粉丝、豆泡、香菜、葱花、油菜、醋。,"1.准备汤。现成的鸭汤加1/3的清水浸泡粉丝和鸭血。注意因为煮盐水鸭的汤偏咸，所以可不用额外加咸的调料。
2.油菜提前焯水去草酸。
3.汤泡20分钟后开始大火煮到粉丝熟透，可以尝一下是不是熟透了，之后放豆……",https://home.meishichina.com/recipe-666853.html
盐水鸭,味趣,鸭腿、盐、花椒、葱姜、八角。,,https://home.meishichina.com/recipe-666851.html
橙子炖猪排,金凤栖梧,梅花肉、橙子、生抽、蚝油、料洒、白糖、黑胡椒粉、玉米油、蒜片、盐。,,https://home.meishichina.com/recipe-666837.html
蒸山药乳鸽,seiseizhang,乳鸽、红枣、山药、小葱、生姜片、料酒。,,https://home.meishichina.com/recipe-666836.html
炖木瓜,seiseizhang,木瓜、燕窝、桃胶、冰糖。,,https://home.meishichina.com/recipe-666835.html
玉米甘蔗水,金凤栖梧,玉米、甘蔗、胡萝卜、冰糖、白糖。,,https://home.meishichina.com/recipe-666834.html
营养凉拌菜,putimama,胡萝卜、香菇、小柿子、甜豆、元葱、红萝卜、柠檬、生抽、白醋、盐、鸡精、香油、芝麻辣椒油。,"1.将蔬菜洗净。
2.香菇洗净(需焯水)。
3.将各种蔬菜分别切成所需片条、状。
4.有的需要短暂的焯水过凉。
5.芝麻辣椒油。
6.将菜品拌至均匀，五彩缤纷，营养丰富。",https://home.meishichina.com/recipe-666645.html
菠萝鸡翅,金凤栖梧,鸡翅、菠萝、生抽、老抽、淀粉、盐、胡椒粉、生抽、蚝油、蜂蜜、水。,"1.鸡翅洗净，两面切两刀，菠萝切片备用​。
2.​鸡翅放入盆中，加入生抽1勺、老抽半勺、淀粉1勺、少许盐、白胡椒粉抓匀，腌30分钟​。
3.锅中油热煎鸡翅，两面金黄捞出​。
4.​煎菠萝片，煎出香味。
5.鸡……",https://home.meishichina.com/recipe-666737.html
芹菜水饺,putimama,面粉、水、肉馅、芹菜、葱花、姜末、食用油、生抽、料酒、香油、五香粉、白胡椒粉、盐、鸡精。,"1.将肉馅先加入调料搅拌均匀，加入芹菜馅、葱花。
2.肉馅已调制完成。
3.和好的面团饧半小时，再搓条、出剂擀成饺子皮(一次不必擀多，防止干裂)。
4.包好的饺子鼓鼓的很漂亮！
5.锅中水烧开后，再下入饺子煮……",https://home.meishichina.com/recipe-666695.html
香酥大虾,putimama,大虾、淀粉、面包糠、食用鲜花、薄荷、食用油(炸制用)、料酒(腌虾用)、盐(腌虾用)。,"1.大虾洗净去头去内脏，加入适量的盐、料酒、腌制10分钟。
2.这是淀粉加了南瓜粉搅拌均匀。
3.先将虾沾满干淀粉，再沾淀粉汁。
4.再沾上面包糠。
5.锅中加入适量的食用油洗热，下入虾胚炸制。
6.第一遍炸好……",https://home.meishichina.com/recipe-666647.html
焖牛脊边条,putimama,牛脊边条、水、五指毛桃、鹿茸(可不放)、生抽、红烧酱油、料酒、盐、葱段、姜片。,"1.将牛脊边条洗净，加入料酒、葱焯水后捞出放入高压锅中。
2.加入生抽、红烧酱油、料酒、盐、葱段、姜片五指毛桃、鹿茸、及水压半小时。
3.取出牛脊边条，既可切片沾料食用，也可切块炖土豆。",https://home.meishichina.com/recipe-666682.html
牛奶豆浆,兰杏梅,黄豆、纯牛奶、白糖、纯净水。,,https://home.meishichina.com/recipe-666732.html
土豆饼,美拉拉的美食日记,土豆、生菜、肉饼、胡椒酱、西红柿酱。,,https://home.meishichina.com/recipe-666716.html
