京白梨,梨类,1.5,2.0,2.5,,,斤,2026-06-04 00:00:00
伦晚,柑橘类,2.0,2.5,3.0,,,斤,2026-06-04 00:00:00
沃柑,柑橘类,1.8,2.4,3.0,,,斤,2026-06-04 00:00:00
丑桔,柑橘类,2.0,2.4,2.8,,,斤,2026-06-04 00:00:00
猕猴桃（徐香),桃李杏类,5.5,6.25,7.0,,,斤,2026-06-04 00:00:00
水蜜桃,桃李杏类,8.0,10.5,13.0,,,斤,2026-06-04 00:00:00
油桃,桃李杏类,2.5,6.25,10.0,,,斤,2026-06-04 00:00:00
黄油桃,桃李杏类,6.0,9.0,12.0,,,斤,2026-06-04 00:00:00
蟠桃,桃李杏类,9.0,10.5,12.0,,,斤,2026-06-04 00:00:00
春雪（红梅）,桃李杏类,6.5,9.75,13.0,,,斤,2026-06-04 00:00:00
突围,桃李杏类,2.0,3.25,4.5,,,斤,2026-06-04 00:00:00
李子,桃李杏类,7.0,8.0,9.0,,,斤,2026-06-04 00:00:00
丰原红杏,桃李杏类,3.0,3.25,3.5,,,斤,2026-06-04 00:00:00
秦杏,桃李杏类,3.0,3.5,4.0,,,斤,2026-06-04 00:00:00
脂肪红杏,桃李杏类,6.0,6.25,6.5,,,斤,2026-06-04 00:00:00
白杏,桃李杏类,3.0,3.5,4.0,,,斤,2026-06-04 00:00:00
金太阳,桃李杏类,2.0,2.25,2.5,,,斤,2026-06-04 00:00:00
无籽小号-大号,西瓜类,1.2,1.3,1.4,,,斤,2026-06-04 00:00:00
麒麟,西瓜类,2.5,2.65,2.8,甜蜜蜜,,斤,2026-06-04 00:00:00
8424西瓜,西瓜类,2.1,2.2,2.3,,,斤,2026-06-04 00:00:00
L600,西瓜类,1.6,1.7,1.8,,,斤,2026-06-04 00:00:00
特小凤,西瓜类,2.2,2.25,2.3,,,斤,2026-06-04 00:00:00
甜王,西瓜类,0.8,0.9,1.0,,,斤,2026-06-04 00:00:00
蜜童,西瓜类,1.8,1.9,2.0,,,斤,2026-06-04 00:00:00
国产香蕉,香蕉类,2.7,3.15,3.6,,,斤,2026-06-04 00:00:00
进口香蕉,香蕉类,3.1,3.7,4.3,菲律宾、老挝,,斤,2026-06-04 00:00:00
苹果蕉,香蕉类,4.3,4.4,4.5,,,斤,2026-06-04 00:00:00
泰国香蕉,香蕉类,8.0,9.0,10.0,帝王蕉,,斤,2026-06-04 00:00:00
晓蜜25号,甜瓜类,1.6,1.9,2.2,,,斤,2026-06-04 00:00:00
久红瑞／金蜜,甜瓜类,1.4,1.8,2.2,,,斤,2026-06-04 00:00:00
玉菇（奶香密）,甜瓜类,1.4,1.7,2.0,奶香蜜,,斤,2026-06-04 00:00:00
网纹,甜瓜类,3.5,4.5,5.5,,,斤,2026-06-04 00:00:00
白糖罐,甜瓜类,2.0,2.5,3.0,,,斤,2026-06-04 00:00:00
绿宝甜瓜,甜瓜类,2.0,2.5,3.0,,,斤,2026-06-04 00:00:00
博阳（系列）,甜瓜类,1.4,2.2,3.0,,,斤,2026-06-04 00:00:00
羊角蜜（六一）,甜瓜类,1.2,2.1,3.0,,,斤,2026-06-04 00:00:00
花蕾甜瓜,甜瓜类,2.0,2.5,3.0,,,斤,2026-06-04 00:00:00
富士,苹果类,2.8,3.8,4.8,纸袋Φ70-84,,斤,2026-06-04 00:00:00
富士,苹果类,2.5,2.9,3.3,纸+膜袋,,斤,2026-06-04 00:00:00
富士,苹果类,5.0,5.5,6.0,纸袋Φ85以上,,斤,2026-06-04 00:00:00
黄元帅（黄香蕉）,苹果类,2.3,2.9,3.5,,,斤,2026-06-04 00:00:00
花牛,苹果类,2.5,3.75,5.0,,,斤,2026-06-04 00:00:00
丑苹果,苹果类,3.0,3.5,4.0,,,斤,2026-06-04 00:00:00
辽宁寒富苹果,苹果类,2.8,2.9,3.0,,,斤,2026-06-04 00:00:00
新疆阿克苏,苹果类,3.5,4.25,5.0,,,斤,2026-06-04 00:00:00
国光苹果,苹果类,2.7,2.8,2.9,,,斤,2026-06-04 00:00:00
阳光玫瑰,葡萄类,8.0,15.5,23.0,,,斤,2026-06-04 00:00:00
红提葡萄,葡萄类,8.0,10.0,12.0,,,斤,2026-06-04 00:00:00
茉莉香葡萄,葡萄类,9.0,11.0,13.0,,,斤,2026-06-04 00:00:00
夏黑,葡萄类,9.0,9.5,10.0,,,斤,2026-06-04 00:00:00
维多利亚（青提）,葡萄类,7.0,9.5,12.0,,,斤,2026-06-04 00:00:00
蓝莓葡萄,葡萄类,10.0,11.0,12.0,,,斤,2026-06-04 00:00:00
巨峰葡萄,葡萄类,7.0,11.0,15.0,,,斤,2026-06-04 00:00:00
玫瑰香葡萄,葡萄类,8.0,11.0,14.0,,,斤,2026-06-04 00:00:00
乒乓球葡萄,葡萄类,8.0,10.5,13.0,,,斤,2026-06-04 00:00:00
小台芒,芒果类,5.5,5.75,6.0,,,斤,2026-06-04 00:00:00
大台芒,芒果类,5.5,5.75,6.0,,,斤,2026-06-04 00:00:00
高乐蜜,芒果类,5.5,6.25,7.0,,,斤,2026-06-04 00:00:00
青皮芒果,芒果类,4.0,4.5,5.0,,,斤,2026-06-04 00:00:00
贵妃芒,芒果类,6.5,7.0,7.5,,,斤,2026-06-04 00:00:00
澳芒,芒果类,6.5,7.0,7.5,,,斤,2026-06-04 00:00:00
